,cosine_to_orig,embeddings_rank,from_clipping,from_original_token,from_split,norms_seen,spellcheck_rank,in_lexicon,length,same_order,orig_norms_seen,orig_in_lexicon,orig_same_order,orig_length,correct,raw_tok_index
desertions,0.2083624303340912,,1.0,,,,,1.0,10,1.0,,,1.0,4.0,,1_1
deserts,0.1827067732810974,,1.0,,,,,1.0,7,1.0,,,1.0,4.0,,1_1
deserve,0.09870992600917816,,1.0,,,,,1.0,7,1.0,,,1.0,4.0,,1_1
deserved,0.012786620296537876,,1.0,,,,,1.0,8,1.0,,,1.0,4.0,,1_1
deservedly,0.022340279072523117,,1.0,,,,,1.0,10,1.0,,,1.0,4.0,,1_1
deserves,-0.018005801364779472,,1.0,,,,,1.0,8,1.0,,,1.0,4.0,,1_1
deserving,0.12104109674692154,,1.0,,,,,1.0,9,1.0,,,1.0,4.0,,1_1
deses,0.8796209096908569,4.0,,,,,,,5,1.0,,,1.0,4.0,,1_1
desk,0.1082518920302391,,,,,,2.0,1.0,4,,,,1.0,4.0,,1_1
despise,0.23524928092956543,,,,,,4.0,1.0,7,1.0,,,1.0,4.0,,1_1
desz,0.8300347328186035,9.0,,,,,,,4,,,,1.0,4.0,,1_1
dez,0.854153573513031,6.0,,,,,,,3,,,,1.0,4.0,,1_1
dhese,0.900945246219635,2.0,,,,,,,5,1.0,,,1.0,4.0,,1_1
dose,0.19929632544517517,,,,,,1.0,1.0,4,,,,1.0,4.0,,1_1
ides,0.19074101746082306,,,,,,7.0,1.0,4,,,,1.0,4.0,,1_1
mdse,,,,,,,6.0,,4,,,,1.0,4.0,,1_1
theez,0.8936538696289062,3.0,,,,,,,5,,,,1.0,4.0,,1_1
thez,0.8424142003059387,7.0,,,,,,,4,,,,1.0,4.0,,1_1
theze,0.9058659076690674,1.0,,,,,,,5,,,,1.0,4.0,,1_1
thse,0.8341627717018127,8.0,,,,,,,4,,,,1.0,4.0,,1_1
bitches,0.9183453917503357,2.0,,,,,,1.0,7,,,1.0,1.0,6.0,,1_2
enigmas,0.21386991441249847,,,,,,2.0,1.0,7,,,1.0,1.0,6.0,,1_2
hoes,0.920043408870697,1.0,,,,,,1.0,4,,,1.0,1.0,6.0,,1_2
mfers,0.9027402400970459,3.0,,,,,,,5,,,1.0,1.0,6.0,,1_2
mfs,0.9378296136856079,0.0,,,,,,,3,,,1.0,1.0,6.0,,1_2
niccas,0.881226658821106,6.0,,,,,,,6,,,1.0,1.0,6.0,,1_2
niggard,0.615326464176178,,,,,,1.0,1.0,7,,,1.0,1.0,6.0,,1_2
niggards,,,,,,,0.0,1.0,8,1.0,,1.0,1.0,6.0,,1_2
niggas,0.9999999403953552,,1.0,1.0,,,,1.0,6,1.0,,1.0,1.0,6.0,,1_2
niggaz,0.8851001858711243,5.0,,,,,,1.0,6,,,1.0,1.0,6.0,,1_2
niggers,0.7744936347007751,,,,,45.0,,1.0,7,,,1.0,1.0,6.0,1.0,1_2
niggle,0.14890152215957642,,,,,,4.0,1.0,6,,,1.0,1.0,6.0,,1_2
nighas,0.8955992460250854,4.0,,,,,,,6,,,1.0,1.0,6.0,,1_2
nixxas,0.8607363104820251,8.0,,,,,,,6,,,1.0,1.0,6.0,,1_2
shorties,0.8615628480911255,7.0,,,,,,,8,,,1.0,1.0,6.0,,1_2
snuggest,,,,,,,3.0,1.0,8,,,1.0,1.0,6.0,,1_2
actually,0.7808171510696411,2.0,,,,,,1.0,8,,22.0,1.0,1.0,5.0,,1_3
assume,0.8205323219299316,1.0,,,,,,1.0,6,,22.0,1.0,1.0,5.0,,1_3
chink,0.18696101009845734,,,,,,7.0,1.0,5,,22.0,1.0,1.0,5.0,,1_3
ethnic,0.309118390083313,,,,,,13.0,1.0,6,,22.0,1.0,1.0,5.0,,1_3
guess,0.770191490650177,3.0,,,,,,1.0,5,,22.0,1.0,1.0,5.0,,1_3
know,0.8358682990074158,0.0,,,,,,1.0,4,,22.0,1.0,1.0,5.0,,1_3
th ink,,,,,1.0,,,,6,1.0,22.0,1.0,1.0,5.0,,1_3
thank,0.34801384806632996,,,,,,5.0,1.0,5,,22.0,1.0,1.0,5.0,,1_3
thick,0.24534784257411957,,,,,,6.0,1.0,5,,22.0,1.0,1.0,5.0,,1_3
thin,0.3124150335788727,,,,,,1.0,1.0,4,,22.0,1.0,1.0,5.0,,1_3
thin k,,,,,,,10.0,,6,1.0,22.0,1.0,1.0,5.0,,1_3
thin-k,,,,,,,11.0,,6,1.0,22.0,1.0,1.0,5.0,,1_3
thine,0.11426518112421036,,,,,,3.0,1.0,5,,22.0,1.0,1.0,5.0,,1_3
thing,0.61402827501297,,,,,,8.0,1.0,5,,22.0,1.0,1.0,5.0,,1_3
think,1.0,,1.0,1.0,,22.0,,1.0,5,1.0,22.0,1.0,1.0,5.0,1.0,1_3
thinker,0.41116663813591003,,1.0,,,,,1.0,7,1.0,22.0,1.0,1.0,5.0,,1_3
thinker's,0.41728675365448,,1.0,,,,,1.0,9,1.0,22.0,1.0,1.0,5.0,,1_3
thinkers,0.3875652551651001,,1.0,,,,,1.0,8,1.0,22.0,1.0,1.0,5.0,,1_3
thinking,0.718028724193573,,1.0,,,,,1.0,8,1.0,22.0,1.0,1.0,5.0,,1_3
thinking's,0.5121341943740845,,1.0,,,,,1.0,10,1.0,22.0,1.0,1.0,5.0,,1_3
thinks,0.6922496557235718,,1.0,,,,2.0,1.0,6,1.0,22.0,1.0,1.0,5.0,,1_3
thins,0.26543888449668884,,,,,,4.0,1.0,5,,22.0,1.0,1.0,5.0,,1_3
thong,0.18119080364704132,,,,,,12.0,1.0,5,,22.0,1.0,1.0,5.0,,1_3
thunk,0.4689256548881531,,,,,,0.0,1.0,5,,22.0,1.0,1.0,5.0,,1_3
twink,0.25902628898620605,,,,,,9.0,1.0,5,,22.0,1.0,1.0,5.0,,1_3
bey,0.42439860105514526,,,,,,11.0,,3,,1.0,,1.0,3.0,,1_4
day,0.17424552142620087,,,,,,6.0,1.0,3,,1.0,,1.0,3.0,,1_4
de3,0.8550570011138916,4.0,,,,,,,3,,1.0,,1.0,3.0,,1_4
deb,0.1905612349510193,,,,,,10.0,1.0,3,,1.0,,1.0,3.0,,1_4
def,0.2336820363998413,,,,,,12.0,,3,,1.0,,1.0,3.0,,1_4
defy,0.2256605625152588,,,,,,4.0,1.0,4,1.0,1.0,,1.0,3.0,,1_4
deg,0.10672814399003983,,,,,,8.0,,3,,1.0,,1.0,3.0,,1_4
demma,0.8539961576461792,5.0,,,,,,,5,,1.0,,1.0,3.0,,1_4
den,0.6049644947052002,,,,,,7.0,1.0,3,,1.0,,1.0,3.0,,1_4
deny,0.25941845774650574,,,,,,3.0,1.0,4,1.0,1.0,,1.0,3.0,,1_4
dew,0.1535944938659668,,,,,,14.0,1.0,3,,1.0,,1.0,3.0,,1_4
dewy,0.21911786496639252,,,,,,5.0,1.0,4,1.0,1.0,,1.0,3.0,,1_4
dey,1.0,,,1.0,,1.0,,,3,1.0,1.0,,1.0,3.0,,1_4
dry,0.30033862590789795,,,,,,2.0,1.0,3,,1.0,,1.0,3.0,,1_4
dye,0.12146197259426117,,,,,,0.0,1.0,3,,1.0,,1.0,3.0,,1_4
dyke,0.2724599540233612,,,,,,16.0,1.0,4,,1.0,,1.0,3.0,,1_4
edey,0.870887041091919,2.0,,,,,,,4,1.0,1.0,,1.0,3.0,,1_4
fey,0.1860838681459427,,,,,,1.0,1.0,3,,1.0,,1.0,3.0,,1_4
hey,0.25810661911964417,,,,,,9.0,1.0,3,,1.0,,1.0,3.0,,1_4
key,0.19296635687351227,,,,,,13.0,1.0,3,,1.0,,1.0,3.0,,1_4
ode,0.35063767433166504,,,,,,15.0,1.0,3,,1.0,,1.0,3.0,,1_4
rydee,0.8810297250747681,1.0,,,,,,,5,,1.0,,1.0,3.0,,1_4
their,0.28639474511146545,,,,,1.0,,1.0,5,,1.0,,1.0,3.0,,1_4
they,0.36230385303497314,,,,,2.0,,1.0,4,,1.0,,1.0,3.0,1.0,1_4
udey,0.8592746257781982,3.0,,,,,,,4,1.0,1.0,,1.0,3.0,,1_4
wey,0.8822324872016907,0.0,,,,,,,3,,1.0,,1.0,3.0,,1_4
coin,0.1877778172492981,,,,,,4.0,1.0,4,,,,1.0,4.0,,1_5
dewin,0.827951192855835,1.0,,,,,,,5,,,,1.0,4.0,,1_5
din,0.14938288927078247,,,,,,0.0,1.0,3,,,,1.0,4.0,,1_5
do in,,,,,1.0,,6.0,,5,1.0,,,1.0,4.0,,1_5
do-in,,,,,,,7.0,,5,1.0,,,1.0,4.0,,1_5
dobbin,0.37786364555358887,,,,,,10.0,1.0,6,1.0,,,1.0,4.0,,1_5
doiin,0.791550874710083,4.0,,,,,,,5,1.0,,,1.0,4.0,,1_5
doiing,0.7754152417182922,8.0,,,,,,,6,1.0,,,1.0,4.0,,1_5
doin,1.0,,,1.0,,,,,4,1.0,,,1.0,4.0,,1_5
doinf,0.7777884602546692,7.0,,,,,,,5,1.0,,,1.0,4.0,,1_5
doing,0.7648128271102905,,1.0,,,6.0,2.0,1.0,5,1.0,,,1.0,4.0,1.0,1_5
doing's,0.5641924738883972,,1.0,,,,,1.0,7,1.0,,,1.0,4.0,,1_5
doings,0.3509804904460907,,1.0,,,,,1.0,6,1.0,,,1.0,4.0,,1_5
doinh,0.7988845109939575,2.0,,,,,,,5,1.0,,,1.0,4.0,,1_5
doinn,0.7818121314048767,5.0,,,,,,,5,1.0,,,1.0,4.0,,1_5
domain,0.08869035542011261,,,,,,9.0,1.0,6,1.0,,,1.0,4.0,,1_5
domino,0.16669324040412903,,,,,,8.0,1.0,6,1.0,,,1.0,4.0,,1_5
don,0.23211157321929932,,,,,,1.0,1.0,3,,,,1.0,4.0,,1_5
doung,0.7804054617881775,6.0,,,,,,,5,,,,1.0,4.0,,1_5
down,0.25694847106933594,,,,,,5.0,1.0,4,,,,1.0,4.0,,1_5
duin,0.8516160249710083,0.0,,,,,,,4,,,,1.0,4.0,,1_5
loin,0.22225967049598694,,,,,,3.0,1.0,4,,,,1.0,4.0,,1_5
tiny,0.16997522115707397,,,,,,12.0,1.0,4,,,,1.0,4.0,,1_5
toeing,0.4384351074695587,,,,,,11.0,1.0,6,,,,1.0,4.0,,1_5
workin,0.792349100112915,3.0,,,,,,,6,,,,1.0,4.0,,1_5
semen,0.3377384543418884,,,,,,4.0,1.0,5,,,,1.0,5.0,,1_6
somethn,0.8857559561729431,8.0,,,,,,,7,,,,1.0,5.0,,1_6
somn,0.9084033966064453,0.0,,,,,,,4,,,,1.0,5.0,,1_6
somthin,0.8918310403823853,5.0,,,,,,,7,,,,1.0,5.0,,1_6
sum,0.6994267106056213,,,,,,2.0,1.0,3,,,,1.0,5.0,,1_6
sum mn,,,,,1.0,,,,6,1.0,,,1.0,5.0,,1_6
sum'n,0.8940047025680542,4.0,,,,,,,5,,,,1.0,5.0,,1_6
sum10,0.8853249549865723,9.0,,,,,,,5,,,,1.0,5.0,,1_6
sumden,0.8862354755401611,7.0,,,,,,,6,,,,1.0,5.0,,1_6
sumin,0.9071352481842041,1.0,,,,,,,5,,,,1.0,5.0,,1_6
summing,0.13038507103919983,,,,,,1.0,1.0,7,1.0,,,1.0,5.0,,1_6
summn,1.0000001192092896,,,1.0,,,,,5,1.0,,,1.0,5.0,,1_6
summon,0.22939707338809967,,,,,,0.0,1.0,6,1.0,,,1.0,5.0,,1_6
sumpt,0.8947118520736694,3.0,,,,,,,5,,,,1.0,5.0,,1_6
sumthin,0.9022056460380554,2.0,,,,,,,7,,,,1.0,5.0,,1_6
sumthn,0.8898796439170837,6.0,,,,,,,6,,,,1.0,5.0,,1_6
surmount,0.12117090821266174,,,,,,3.0,1.0,8,,,,1.0,5.0,,1_6
bit's,0.5436906218528748,,,,,,7.0,1.0,5,1.0,38.0,1.0,1.0,4.0,,1_7
fit's,0.38519132137298584,,,,,,8.0,1.0,5,1.0,38.0,1.0,1.0,4.0,,1_7
hit's,0.3522033989429474,,,,,,6.0,1.0,5,1.0,38.0,1.0,1.0,4.0,,1_7
i t's,,,,,1.0,,,,5,1.0,38.0,1.0,1.0,4.0,,1_7
id's,0.17254476249217987,,,,,,13.0,1.0,4,,38.0,1.0,1.0,4.0,,1_7
ides,0.3169700503349304,,,,,,16.0,1.0,4,,38.0,1.0,1.0,4.0,,1_7
if's,0.2100861668586731,,,,,,14.0,1.0,4,,38.0,1.0,1.0,4.0,,1_7
in's,0.23596450686454773,,,,,,12.0,1.0,4,,38.0,1.0,1.0,4.0,,1_7
it''s,0.7681256532669067,2.0,,,,,,,5,1.0,38.0,1.0,1.0,4.0,,1_7
it'a,0.8028533458709717,1.0,,,,,,,4,,38.0,1.0,1.0,4.0,,1_7
it'd,0.5925129652023315,,,,,,1.0,1.0,4,,38.0,1.0,1.0,4.0,,1_7
it's,1.0,,1.0,1.0,,38.0,15.0,1.0,4,1.0,38.0,1.0,1.0,4.0,1.0,1_7
its,0.7522339224815369,,,,,,2.0,1.0,3,,38.0,1.0,1.0,4.0,,1_7
kit's,0.3772731423377991,,,,,,9.0,1.0,5,1.0,38.0,1.0,1.0,4.0,,1_7
nit's,,,,,,,3.0,1.0,5,1.0,38.0,1.0,1.0,4.0,,1_7
pit's,0.31841492652893066,,,,,,5.0,1.0,5,1.0,38.0,1.0,1.0,4.0,,1_7
that's,0.8474917411804199,0.0,,,,,,1.0,6,,38.0,1.0,1.0,4.0,,1_7
ti's,0.5413562655448914,,,,,,0.0,1.0,4,,38.0,1.0,1.0,4.0,,1_7
tit's,0.27938520908355713,,,,,,4.0,1.0,5,1.0,38.0,1.0,1.0,4.0,,1_7
wit's,0.3055291175842285,,,,,,10.0,1.0,5,1.0,38.0,1.0,1.0,4.0,,1_7
zit's,,,,,,,11.0,1.0,5,1.0,38.0,1.0,1.0,4.0,,1_7
a bout,,,,,1.0,,3.0,,6,1.0,55.0,1.0,1.0,5.0,,1_8
a-bout,,,,,,,4.0,,6,1.0,55.0,1.0,1.0,5.0,,1_8
ab out,,,,,,,5.0,,6,1.0,55.0,1.0,1.0,5.0,,1_8
ab-out,,,,,,,6.0,,6,1.0,55.0,1.0,1.0,5.0,,1_8
abbot,0.30189821124076843,,,,,,7.0,1.0,5,,55.0,1.0,1.0,5.0,,1_8
abode,0.0629885122179985,,,,,,8.0,1.0,5,,55.0,1.0,1.0,5.0,,1_8
abort,0.35422375798225403,,,,,,2.0,1.0,5,,55.0,1.0,1.0,5.0,,1_8
abour,0.7864029407501221,3.0,,,,,,,5,,55.0,1.0,1.0,5.0,,1_8
about,0.9999999403953552,,1.0,1.0,,55.0,,1.0,5,1.0,55.0,1.0,1.0,5.0,1.0,1_8
abt,0.8127133846282959,1.0,,,,,,,3,,55.0,1.0,1.0,5.0,,1_8
abut,0.7612497210502625,,,,,,1.0,1.0,4,,55.0,1.0,1.0,5.0,,1_8
anout,0.824995219707489,0.0,,,,,,,5,,55.0,1.0,1.0,5.0,,1_8
bout,0.7025735378265381,,,,,,0.0,1.0,4,,55.0,1.0,1.0,5.0,,1_8
sbout,0.8116772174835205,2.0,,,,,,,5,,55.0,1.0,1.0,5.0,,1_8
core,0.3852081000804901,,,,,,13.0,1.0,4,,27.0,1.0,1.0,4.0,,1_9
less,0.858705461025238,0.0,,,,,,1.0,4,,27.0,1.0,1.0,4.0,,1_9
lore,0.3786984384059906,,,,,,12.0,1.0,4,,27.0,1.0,1.0,4.0,,1_9
mare,0.15006807446479797,,,,,,8.0,1.0,4,,27.0,1.0,1.0,4.0,,1_9
mere,0.39240697026252747,,,,,,6.0,1.0,4,,27.0,1.0,1.0,4.0,,1_9
mire,0.61585533618927,,,,,,0.0,1.0,4,,27.0,1.0,1.0,4.0,,1_9
mo re,,,,,1.0,,,,5,1.0,27.0,1.0,1.0,4.0,,1_9
mode,0.2350887507200241,,,,,,14.0,1.0,4,,27.0,1.0,1.0,4.0,,1_9
moire,0.3351999819278717,,,,,,4.0,1.0,5,1.0,27.0,1.0,1.0,4.0,,1_9
mole,0.2776474356651306,,,,,,11.0,1.0,4,,27.0,1.0,1.0,4.0,,1_9
morale,0.3200904130935669,,,,,,16.0,1.0,6,1.0,27.0,1.0,1.0,4.0,,1_9
more,0.9999999403953552,,1.0,1.0,,27.0,,1.0,4,1.0,27.0,1.0,1.0,4.0,1.0,1_9
more's,0.28866469860076904,,1.0,,,,,1.0,6,1.0,27.0,1.0,1.0,4.0,,1_9
morel,0.23789113759994507,,,,,,5.0,,5,1.0,27.0,1.0,1.0,4.0,,1_9
moreno,0.203530952334404,,1.0,,,,,1.0,6,1.0,27.0,1.0,1.0,4.0,,1_9
moreno's,,,1.0,,,,,1.0,8,1.0,27.0,1.0,1.0,4.0,,1_9
moreover,0.3570246696472168,,1.0,,,,,1.0,8,1.0,27.0,1.0,1.0,4.0,,1_9
mores,0.4746240973472595,,1.0,,,,3.0,1.0,5,1.0,27.0,1.0,1.0,4.0,,1_9
mores's,,,1.0,,,,,1.0,7,1.0,27.0,1.0,1.0,4.0,,1_9
morn,0.1226639598608017,,,,,,9.0,1.0,4,,27.0,1.0,1.0,4.0,,1_9
morose,0.35905343294143677,,,,,,15.0,1.0,6,1.0,27.0,1.0,1.0,4.0,,1_9
mote,0.5948629975318909,,,,,,1.0,1.0,4,,27.0,1.0,1.0,4.0,,1_9
ore,0.290237158536911,,,,,,2.0,1.0,3,,27.0,1.0,1.0,4.0,,1_9
sore,0.14569856226444244,,,,,,7.0,1.0,4,,27.0,1.0,1.0,4.0,,1_9
than,0.7969111800193787,1.0,,,,,,1.0,4,,27.0,1.0,1.0,4.0,,1_9
tore,0.0972830057144165,,,,,,10.0,1.0,4,,27.0,1.0,1.0,4.0,,1_9
better,0.7438647150993347,3.0,,,,,,1.0,6,,20.0,1.0,1.0,4.0,,1_10
khan,0.21232010424137115,,,,,,6.0,1.0,4,,20.0,1.0,1.0,4.0,,1_10
less,0.8477645516395569,0.0,,,,,,1.0,4,,20.0,1.0,1.0,4.0,,1_10
more,0.7969111800193787,1.0,,,,,,1.0,4,,20.0,1.0,1.0,4.0,,1_10
needier,0.7434964776039124,4.0,,,,,,1.0,7,,20.0,1.0,1.0,4.0,,1_10
tan,0.19436167180538177,,,,,,0.0,1.0,3,,20.0,1.0,1.0,4.0,,1_10
th an,,,,,1.0,,,,5,1.0,20.0,1.0,1.0,4.0,,1_10
than,1.0,,1.0,1.0,,20.0,8.0,1.0,4,1.0,20.0,1.0,1.0,4.0,1.0,1_10
thane,0.2795506417751312,,,,,,1.0,,5,1.0,20.0,1.0,1.0,4.0,,1_10
thanh,0.15271595120429993,,1.0,,,,,1.0,5,1.0,20.0,1.0,1.0,4.0,,1_10
thanh's,,,1.0,,,,,1.0,7,1.0,20.0,1.0,1.0,4.0,,1_10
thank,0.2782088816165924,,1.0,,,,2.0,1.0,5,1.0,20.0,1.0,1.0,4.0,,1_10
thanked,0.267326682806015,,1.0,,,,,1.0,7,1.0,20.0,1.0,1.0,4.0,,1_10
thankful,0.228602796792984,,1.0,,,,,1.0,8,1.0,20.0,1.0,1.0,4.0,,1_10
thankfully,0.31549766659736633,,1.0,,,,,1.0,10,1.0,20.0,1.0,1.0,4.0,,1_10
thankfulness,0.26017698645591736,,1.0,,,,,1.0,12,1.0,20.0,1.0,1.0,4.0,,1_10
thankfulness's,,,1.0,,,,,1.0,14,1.0,20.0,1.0,1.0,4.0,,1_10
thanking,0.25572556257247925,,1.0,,,,,1.0,8,1.0,20.0,1.0,1.0,4.0,,1_10
thankless,0.2982170879840851,,1.0,,,,,1.0,9,1.0,20.0,1.0,1.0,4.0,,1_10
thanklessly,,,1.0,,,,,1.0,11,1.0,20.0,1.0,1.0,4.0,,1_10
thanks,0.24778543412685394,,1.0,,,,,1.0,6,1.0,20.0,1.0,1.0,4.0,,1_10
thanksgiving,0.24306416511535645,,1.0,,,,,1.0,12,1.0,20.0,1.0,1.0,4.0,,1_10
thanksgiving's,,,1.0,,,,,1.0,14,1.0,20.0,1.0,1.0,4.0,,1_10
thanksgivings,0.2347903847694397,,1.0,,,,,1.0,13,1.0,20.0,1.0,1.0,4.0,,1_10
thant,0.6203413605690002,,1.0,,,,,1.0,5,1.0,20.0,1.0,1.0,4.0,,1_10
thant's,,,1.0,,,,,1.0,7,1.0,20.0,1.0,1.0,4.0,,1_10
that,0.4818362593650818,,,,,,5.0,1.0,4,,20.0,1.0,1.0,4.0,,1_10
thaw,0.13442473113536835,,,,,,7.0,1.0,4,,20.0,1.0,1.0,4.0,,1_10
then,0.5421984195709229,,,,,,3.0,1.0,4,,20.0,1.0,1.0,4.0,,1_10
thin,0.2285938411951065,,,,,,4.0,1.0,4,,20.0,1.0,1.0,4.0,,1_10
thorn,0.2874980866909027,,,,,,10.0,1.0,5,,20.0,1.0,1.0,4.0,,1_10
thsn,0.7686320543289185,2.0,,,,,,,4,,20.0,1.0,1.0,4.0,,1_10
thunk,0.2584924101829529,,,,,,9.0,1.0,5,,20.0,1.0,1.0,4.0,,1_10
cumber,0.17698240280151367,,,,,,3.0,,6,,3.0,1.0,1.0,6.0,,1_11
dumber,0.19877620041370392,,,,,,5.0,1.0,6,,3.0,1.0,1.0,6.0,,1_11
lumber,0.29040464758872986,,,,,,2.0,1.0,6,,3.0,1.0,1.0,6.0,,1_11
n umber,,,,,,,6.0,,7,1.0,3.0,1.0,1.0,6.0,,1_11
n-umber,,,,,,,7.0,,7,1.0,3.0,1.0,1.0,6.0,,1_11
nimble,0.1548839807510376,,,,,,11.0,1.0,6,,3.0,1.0,1.0,6.0,,1_11
numb er,,,,,,,8.0,,7,1.0,3.0,1.0,1.0,6.0,,1_11
numb-er,,,,,,,9.0,,7,1.0,3.0,1.0,1.0,6.0,,1_11
numbed,0.16920067369937897,,,,,,4.0,1.0,6,,3.0,1.0,1.0,6.0,,1_11
number,1.0,,1.0,1.0,,3.0,,1.0,6,1.0,3.0,1.0,1.0,6.0,1.0,1_11
number's,0.5890030860900879,,1.0,,,,,1.0,8,1.0,3.0,1.0,1.0,6.0,,1_11
numbered,0.48217275738716125,,1.0,,,,,1.0,8,1.0,3.0,1.0,1.0,6.0,,1_11
numbering,0.5401625633239746,,1.0,,,,,1.0,9,1.0,3.0,1.0,1.0,6.0,,1_11
numberless,0.3090718984603882,,1.0,,,,,1.0,10,1.0,3.0,1.0,1.0,6.0,,1_11
numbers,0.7088234424591064,,1.0,,,,1.0,1.0,7,1.0,3.0,1.0,1.0,6.0,,1_11
numbers's,,,1.0,,,,,1.0,9,1.0,3.0,1.0,1.0,6.0,,1_11
numbness,0.13274413347244263,,,,,,10.0,1.0,8,,3.0,1.0,1.0,6.0,,1_11
nunber,0.7307392358779907,0.0,,,,,,,6,,3.0,1.0,1.0,6.0,,1_11
umber,0.4464615285396576,,,,,,0.0,1.0,5,,3.0,1.0,1.0,6.0,,1_11
breh,0.8810237050056458,6.0,,,,,,,4,,,,1.0,4.0,,1_12
bro,0.873461902141571,7.0,,,,,,,3,,,,1.0,4.0,,1_12
brother,0.4443516731262207,,,,,26.0,,1.0,7,,,,1.0,4.0,1.0,1_12
bruh,1.0,,,1.0,,,,,4,1.0,,,1.0,4.0,,1_12
bruhhh,0.8879140615463257,3.0,,,,,,,6,1.0,,,1.0,4.0,,1_12
bruhhhh,0.88259357213974,5.0,,,,,,,7,1.0,,,1.0,4.0,,1_12
brunch,0.26513978838920593,,,,,,1.0,1.0,6,1.0,,,1.0,4.0,,1_12
brush,0.24400120973587036,,,,,,0.0,1.0,5,1.0,,,1.0,4.0,,1_12
brutish,0.16324621438980103,,,,,,2.0,1.0,7,1.0,,,1.0,4.0,,1_12
dawg,0.9105991721153259,0.0,,,,,,,4,,,,1.0,4.0,,1_12
lmaooo,0.8898497223854065,1.0,,,,,,,6,,,,1.0,4.0,,1_12
lmaoooo,0.88824063539505,2.0,,,,,,,7,,,,1.0,4.0,,1_12
lmaooooo,0.8825984001159668,4.0,,,,,,,8,,,,1.0,4.0,,1_12
lmaoooooo,0.8717398047447205,8.0,,,,,,,9,,,,1.0,4.0,,1_12
omm,0.8700017333030701,9.0,,,,,,,3,,,,1.0,4.0,,1_12
a nd,,,,,1.0,,,,4,1.0,327.0,1.0,1.0,3.0,,1_13
ad,0.39602071046829224,,,,,,1.0,1.0,2,,327.0,1.0,1.0,3.0,,1_13
aid,0.29621946811676025,,,,,,10.0,1.0,3,,327.0,1.0,1.0,3.0,,1_13
an,0.5016801357269287,,,,,,2.0,1.0,2,,327.0,1.0,1.0,3.0,,1_13
and,0.9999999403953552,,1.0,1.0,,327.0,,1.0,3,1.0,327.0,1.0,1.0,3.0,1.0,1_13
andalusia,0.1545468121767044,,1.0,,,,,1.0,9,1.0,327.0,1.0,1.0,3.0,,1_13
andalusia's,,,1.0,,,,,1.0,11,1.0,327.0,1.0,1.0,3.0,,1_13
andalusian,0.44396141171455383,,1.0,,,,,1.0,10,1.0,327.0,1.0,1.0,3.0,,1_13
andalusian's,,,1.0,,,,,1.0,12,1.0,327.0,1.0,1.0,3.0,,1_13
andaman,0.2123493105173111,,1.0,,,,,1.0,7,1.0,327.0,1.0,1.0,3.0,,1_13
andaman's,,,1.0,,,,,1.0,9,1.0,327.0,1.0,1.0,3.0,,1_13
andante,0.27829626202583313,,1.0,,,,,1.0,7,1.0,327.0,1.0,1.0,3.0,,1_13
andante's,,,1.0,,,,,1.0,9,1.0,327.0,1.0,1.0,3.0,,1_13
andantes,,,1.0,,,,,1.0,8,1.0,327.0,1.0,1.0,3.0,,1_13
andean,,,1.0,,,,,1.0,6,1.0,327.0,1.0,1.0,3.0,,1_13
andean's,,,1.0,,,,,1.0,8,1.0,327.0,1.0,1.0,3.0,,1_13
andersen,0.32130035758018494,,1.0,,,,,1.0,8,1.0,327.0,1.0,1.0,3.0,,1_13
andersen's,,,1.0,,,,,1.0,10,1.0,327.0,1.0,1.0,3.0,,1_13
anderson,0.2939617335796356,,1.0,,,,,1.0,8,1.0,327.0,1.0,1.0,3.0,,1_13
anderson's,0.2826409935951233,,1.0,,,,,1.0,10,1.0,327.0,1.0,1.0,3.0,,1_13
andes,0.02174176275730133,,1.0,,,,,1.0,5,1.0,327.0,1.0,1.0,3.0,,1_13
andes's,,,1.0,,,,,1.0,7,1.0,327.0,1.0,1.0,3.0,,1_13
andiron,,,1.0,,,,,1.0,7,1.0,327.0,1.0,1.0,3.0,,1_13
andiron's,,,1.0,,,,,1.0,9,1.0,327.0,1.0,1.0,3.0,,1_13
andirons,,,1.0,,,,,1.0,8,1.0,327.0,1.0,1.0,3.0,,1_13
andorra,0.1788664013147354,,1.0,,,,,1.0,7,1.0,327.0,1.0,1.0,3.0,,1_13
andorra's,,,1.0,,,,,1.0,9,1.0,327.0,1.0,1.0,3.0,,1_13
andre,0.09165917336940765,,1.0,,,,,1.0,5,1.0,327.0,1.0,1.0,3.0,,1_13
andre's,0.19241192936897278,,1.0,,,,,1.0,7,1.0,327.0,1.0,1.0,3.0,,1_13
andrea,0.21900923550128937,,1.0,,,,,1.0,6,1.0,327.0,1.0,1.0,3.0,,1_13
andrea's,0.25363001227378845,,1.0,,,,,1.0,8,1.0,327.0,1.0,1.0,3.0,,1_13
andrei,0.20673173666000366,,1.0,,,,,1.0,6,1.0,327.0,1.0,1.0,3.0,,1_13
andrei's,,,1.0,,,,,1.0,8,1.0,327.0,1.0,1.0,3.0,,1_13
andres,0.16624592244625092,,1.0,,,,,1.0,6,1.0,327.0,1.0,1.0,3.0,,1_13
andres's,,,1.0,,,,,1.0,8,1.0,327.0,1.0,1.0,3.0,,1_13
andretti,0.25298601388931274,,1.0,,,,,1.0,8,1.0,327.0,1.0,1.0,3.0,,1_13
andretti's,,,1.0,,,,,1.0,10,1.0,327.0,1.0,1.0,3.0,,1_13
